id_distribuidor,importe_depositado,marginal
116,3321662.37,769845.1070775981
300,45160.0,45160.0
455,908847.0,258069.30490848038
480,982205.01,242482.26400756906
576,1012966.0,384669.6544495531
797,643592.0,186066.7062958483
1185,65504.0,20820.803076923083
1921,8328.0,8328.0
2036,858962.0,193516.35880780546
2174,264356.0,67109.97154230907
2564,392756.0,117798.78829322918
2615,48904.0,48904.0
2712,51933.0,18336.746153846158
2722,245131.0,124747.56153846154
2737,242390.0,63383.86983946487
2759,8516.0,8516.0
3185,1161.0,1161.0
3444,119012.0,47241.60615384615
3481,358407.0,104214.38826739928
3690,226878.0,65838.5316568049
3991,1650.0,1650.0
4054,45814.0,45814.0
4064,255908.0,71907.27068829682
4708,266286.0,74905.8719997145
4732,272737.0,81360.80312020646
4826,76652.0,76652.0
4913,584656.0,166088.83874169027
5252,244720.0,70241.07896418398
5566,2295.0,2295.0
5728,1633347.0,467042.7058345338
5812,244698.0,61065.692773261864
5846,1225225.2,264899.56594156066
6136,39803.0,39803.0
6379,65149.0,425.05692307692516
6506,36405.0,12889.95076923077
6611,410303.0,132038.39311036788
6728,220304.0,88902.36615384615
6857,60188.0,14068.47538461539
7104,53436.0,21135.326153846156
7308,254534.0,93755.68886569428
8082,442709.0,50456.26376814529
8265,35500.0,35500.0
8309,219626.0,48441.22208119658
8319,183910.0,69219.77430100333
8378,72920.0,72920.0
8408,335908.0,86840.81016900318
8439,196554.0,67371.86461538462
8488,222573.0,45848.26468623482
8514,1588553.6,339772.4271593408
8632,843402.0,239788.10434722807
8633,187214.53,47175.51461538463
8679,3500.0,3500.0
8774,37560.0,10420.330769230772
8828,126832.0,126832.0
8869,13350.0,13350.0
8994,218414.0,85870.09538461539
9038,70560.0,-27231.01384615386
9465,316893.0,93538.27514835165
9530,70710.0,25037.599379818697
9557,28325.0,5939.724615384617
9718,105291.0,37598.72582014356
9813,6200.0,6200.0
9815,93689.0,16408.114062078283
9963,72221.0,31622.00842105264
10457,311840.0,71195.68220735784
10461,7604.0,7604.0
10466,15077.0,15077.0
10536,17976.0,17976.0
10933,18663.0,11419.626153846155
11364,191375.0,64147.92151803631
11655,151882.0,151882.0
12008,6050.0,6050.0
12075,36860.0,36860.0
12100,500.0,500.0
12168,221542.0,63292.51725428956
12288,238969.0,65502.40965468425
12897,57999.0,4676.155120782729
13084,495139.0,145202.16835231474
13185,58991.0,5225.270275997151
13309,41581.0,10742.151826923076
13330,109422.0,35880.59861538462
13489,48849.0,21527.176923076924
13671,84922.0,23399.804653846157
14121,7967.0,7967.0
14164,165969.0,15551.330769230757
14188,1090746.0,298835.17294871795
14894,197113.0,35825.38542824765
15223,14381.0,7705.426153846154
16004,18551.0,18551.0
16051,122002.0,35528.56461538462
16135,8346.0,4843.503076923077
16244,120560.0,1153.2892307692236
16335,9414.0,2520.0415384615408
16409,5000.0,5000.0
16661,292684.0,77764.63113043268
16720,363853.43,96360.83524007135
16724,420783.0,-22190.20769230771
17352,18252.0,-2343.99846153846
17601,1749854.62,428491.3869677738
17607,20721.0,20721.0
17706,3394.0,3394.0
17771,18318.0,3729.5199999999986
17930,752.0,752.0
17976,87281.0,19924.103076923086
18377,755571.0,216316.08034628595
18392,394569.0,102846.61093007395
18655,196357.0,793.7169230769214
19005,60247.0,23927.9
19706,60595.0,11054.147692307692
20666,609.0,609.0
20920,3993.0,3993.0
21047,57654.0,19776.22960996974
21204,342935.0,83246.20354945055
21234,500.0,500.0
21372,1887301.1,403285.3672555911
21378,199120.0,84307.48461538463
21529,87296.0,24507.441538461535
21629,21034.0,10476.85230769231
21656,800.0,800.0
21877,145064.0,55653.10923076923
21882,306210.0,95809.57413050812
22644,39443.0,24519.483076923076
22763,97795.0,28052.210769230776
23162,114925.0,54844.835384615384
23234,21819.0,21819.0
23349,1500.0,1500.0
24186,750.0,750.0
24321,35312.0,6530.476240802676
24475,6000.0,6000.0
25085,8000.0,8000.0
25493,40963.0,12806.350769230768
25824,1000.0,1000.0
26021,4058.0,4058.0
26051,700.0,700.0
26520,1382.0,1382.0
26868,17172.0,17172.0
26974,56211.0,14922.644615384612
26980,177868.0,69242.96769230769
27102,400.0,400.0
27193,7501.0,7501.0
27203,1400.0,1400.0
27460,90492.0,38642.02597285068
28109,179695.0,45053.45793096034
28347,43030.0,14039.832794044665
28349,5484.0,5484.0
28361,1018.0,1018.0
29133,1446.0,1446.0
29193,267333.0,62701.52297254492
29963,274473.0,73449.32673794855
29968,93806.0,31208.306091775215
29969,404191.0,100314.3631753464
30153,186022.0,21699.438037963497
30359,25796.0,9194.558542510124
31045,121150.0,45470.601538461546
31333,600.0,600.0
31465,75651.0,30732.28153846153
31501,109888.0,36366.864501672244
31587,12020.0,12020.0
31864,1300.0,1300.0
32032,700.0,700.0
32468,155684.96,45933.93477207977
32794,87061.0,25488.161085972846
32935,47589.0,47589.0
32940,12168.0,12168.0
32943,11001.0,11001.0
33050,390769.0,222801.56307692308
33112,52732.0,14232.649230769232
33382,412705.0,66286.43792039884
33821,72840.0,29913.183076923073
34052,116719.0,31452.733846153846
34117,444112.0,131274.18952735537
34199,50075.0,17754.82307692308
34488,4689.0,4689.0
34519,75626.11,17487.99769230769
34703,4872.0,4872.0
35175,1002073.3,250229.1500176869
35469,15136.0,15136.0
35940,429.0,429.0
35983,124470.0,83335.9523076923
36018,96587.0,17994.61692307693
36245,56572.0,28874.823076923072
36543,35219.0,13346.55076923077
37135,43380.0,43380.0
37224,33724.0,9062.64307692308
37626,84997.0,11943.175384615388
37724,611543.0,152609.3271561858
38099,25401.0,8235.238681318682
38325,5460.0,5460.0
38829,71694.0,19560.44013316946
38976,1172.0,1172.0
39115,775987.0,185367.17464890797
39236,98255.0,2383.873846153845
39721,25034.0,25034.0
40061,49810.0,49810.0
40312,160180.0,51941.52349004618
40330,24364.0,24364.0
40688,1689.0,1689.0
40811,10000.0,10000.0
40876,1842.0,1842.0
40991,85502.0,3047.051613553107
41194,83975.0,39895.70615384616
41738,49499.0,17959.293846153843
41903,88516.0,11934.50307692308
41923,173730.0,29078.80186234819
41954,896234.0,225126.79615541152
42106,121959.0,26056.161538461543
42183,280142.0,56933.247136287624
42201,2700.0,2700.0
42323,1000.0,1000.0
42476,195664.0,75382.41892037787
42541,28528.0,9621.781538461539
42843,57768.0,15426.818871794872
43288,306163.0,87692.6546294222
43464,6850.0,6850.0
43535,68725.0,12413.414405398944
43545,36285.0,17263.61692307692
43593,3200.0,3200.0
43813,12900.0,12900.0
43893,46928.0,39859.333846153844
44186,343978.0,105550.75859564779
44256,27146.0,27146.0
44385,188491.0,64939.4362660522
45263,34408.0,9083.684615384616
45472,4000.0,4000.0
