label,approval_score,applicant_id
RECHAZADO,0.9170734882,155404
RECHAZADO,0.8731154799,155409
RECHAZADO,0.683835566,155539
RECHAZADO,0.7123655081,155646
RECHAZADO,0.6683471203,156128
RECHAZADO,0.6022083163,156129
APROBADO,0.9866424799,156130
APROBADO,0.9735963941,156138
RECHAZADO,0.926649034,156140
RECHAZADO,0.601095438,156313
RECHAZADO,0.8448240757,156403
RECHAZADO,0.7745447755,156404
RECHAZADO,0.8867871165,156405
RECHAZADO,0.6585350633,156406
RECHAZADO,0.9092777371,156407
RECHAZADO,0.9312306643,159930
RECHAZADO,0.88390553,159598
RECHAZADO,0.7211914659,159599
RECHAZADO,0.7573193908,160172
RECHAZADO,0.8651345968,154897
RECHAZADO,0.5639070272,155495
RECHAZADO,0.6616234779,155504
RECHAZADO,0.5808622241,155513
RECHAZADO,0.3296195567,155519
RECHAZADO,0.3225222528,155641
RECHAZADO,0.2121244818,155805
RECHAZADO,0.1721367985,157537
RECHAZADO,0.2170623988,157538
RECHAZADO,0.5858539343,157541
RECHAZADO,0.6226082444,157764
RECHAZADO,0.8235061765,157766
RECHAZADO,0.6560429931,157952
RECHAZADO,0.7184785604,158053
RECHAZADO,0.543761611,158813
RECHAZADO,0.9261429906,158945
RECHAZADO,0.3947088122,159075
RECHAZADO,0.69250983,159076
APROBADO,0.9849780798,159083
APROBADO,0.9678679109,159109
RECHAZADO,0.8471952677,159115
RECHAZADO,0.3934088051,159125
RECHAZADO,0.7799554467,159126
RECHAZADO,0.7388961315,159129
APROBADO,0.9710345268,159147
RECHAZADO,0.6955729127,159267
RECHAZADO,0.5831664205,159406
RECHAZADO,0.9134079218,158607
RECHAZADO,0.7979021668,158608
RECHAZADO,0.815300405,158609
RECHAZADO,0.8174897432,158611
RECHAZADO,0.5995535254,145442
APROBADO,0.9532120228,145444
APROBADO,0.9896001816,157169
RECHAZADO,0.364700973,157171
APROBADO,0.9442193508,157178
RECHAZADO,0.6734732985,157185
RECHAZADO,0.8126282692,157188
RECHAZADO,0.8846513033,157189
APROBADO,0.97967875,157194
RECHAZADO,0.858674705,157198
RECHAZADO,0.8140254021,157201
APROBADO,0.9763430953,157204
RECHAZADO,0.7051388025,147364
RECHAZADO,0.6838712096,147481
RECHAZADO,0.2326734066,147486
RECHAZADO,0.447730124,147490
RECHAZADO,0.5703544617,153407
RECHAZADO,0.6471051574,153409
RECHAZADO,0.7513115406,153432
RECHAZADO,0.0333025753,153820
RECHAZADO,0.0338075906,153821
RECHAZADO,0.041927997,154057
RECHAZADO,0.091086559,154061
RECHAZADO,0.1415974051,154217
RECHAZADO,0.5284885168,154329
RECHAZADO,0.2069391161,154332
RECHAZADO,0.4876082838,154351
RECHAZADO,0.5724147558,154374
RECHAZADO,0.166662693,154409
RECHAZADO,0.6486532092,154475
RECHAZADO,0.6775491238,154477
RECHAZADO,0.7379710674,154772
RECHAZADO,0.1858703792,154844
RECHAZADO,0.7227618098,153341
RECHAZADO,0.9335207343,154845
RECHAZADO,0.7703770399,155619
RECHAZADO,0.7577906251,155621
RECHAZADO,0.63518852,155668
RECHAZADO,0.797278285,156076
APROBADO,0.9779071808,159068
RECHAZADO,0.8376294971,159069
RECHAZADO,0.6666178107,160010
RECHAZADO,0.3641903102,160011
RECHAZADO,0.9246736765,160012
RECHAZADO,0.3950220048,160015
RECHAZADO,0.4656262398,160020
RECHAZADO,0.6783707738,160463
RECHAZADO,0.6715219021,157115
RECHAZADO,0.8103696108,157132
RECHAZADO,0.6020590663,157205
RECHAZADO,0.1848544478,157261
RECHAZADO,0.6530001163,157375
RECHAZADO,0.5160186887,157382
RECHAZADO,0.7731525898,157414
RECHAZADO,0.447820127,157509
RECHAZADO,0.8133989573,157520
RECHAZADO,0.6093473434,157522
RECHAZADO,0.6466423273,157527
RECHAZADO,0.2437878102,157586
RECHAZADO,0.5163417459,157587
RECHAZADO,0.8876652718,157591
RECHAZADO,0.5647150278,157673
RECHAZADO,0.8535505533,157745
APROBADO,0.938012898,156047
RECHAZADO,0.8775525093,156049
RECHAZADO,0.7838110924,156050
RECHAZADO,0.9324118495,156117
RECHAZADO,0.7559005022,156149
RECHAZADO,0.7713826299,156152
RECHAZADO,0.8724198341,156603
RECHAZADO,0.7262928486,156616
APROBADO,0.9891508818,156721
APROBADO,0.986135602,156731
RECHAZADO,0.8462162614,159006
RECHAZADO,0.91766572,159015
RECHAZADO,0.4130286276,159079
RECHAZADO,0.7679111362,159110
APROBADO,0.9887670875,159116
RECHAZADO,0.8320089579,159124
RECHAZADO,0.7639366388,159150
RECHAZADO,0.4178407788,159153
APROBADO,0.9972106814,159192
RECHAZADO,0.2425316721,159207
APROBADO,0.9893633723,159215
APROBADO,0.9925406575,159220
APROBADO,0.9921706319,159238
APROBADO,0.9751443267,159307
APROBADO,0.9500293136,159312
RECHAZADO,0.5134368539,159499
RECHAZADO,0.0432614796,159500
RECHAZADO,0.2016830891,159501
RECHAZADO,0.0674910471,159502
RECHAZADO,0.8065704107,159505
RECHAZADO,0.4840632379,159507
RECHAZADO,0.1083842516,159509
RECHAZADO,0.0961229876,159510
RECHAZADO,0.482724458,159549
RECHAZADO,0.5223798156,159557
RECHAZADO,0.8382184505,159558
RECHAZADO,0.8231877685,159561
APROBADO,0.9614002109,159582
RECHAZADO,0.4622695744,159668
RECHAZADO,0.5874906182,159670
RECHAZADO,0.8892288804,159673
RECHAZADO,0.4611733556,159674
RECHAZADO,0.8268027306,159675
RECHAZADO,0.5721052885,159679
RECHAZADO,0.1469211876,159682
RECHAZADO,0.2591750324,159717
RECHAZADO,0.6050370932,159720
RECHAZADO,0.4229229093,159832
RECHAZADO,0.2133432329,159834
RECHAZADO,0.3373425901,159901
RECHAZADO,0.2220956534,159902
RECHAZADO,0.464020133,156284
RECHAZADO,0.5751382113,156285
RECHAZADO,0.745069623,157110
RECHAZADO,0.6919346452,157345
RECHAZADO,0.9022157192,157346
RECHAZADO,0.8076583147,157658
RECHAZADO,0.3812407851,157718
RECHAZADO,0.7519883513,157285
RECHAZADO,0.1432661265,157308
RECHAZADO,0.8099228144,157320
APROBADO,0.9709960818,157386
RECHAZADO,0.9293512702,157398
RECHAZADO,0.5105773807,157656
RECHAZADO,0.678943336,157790
RECHAZADO,0.2124259621,157794
RECHAZADO,0.7007248998,157795
APROBADO,0.9818544388,157803
RECHAZADO,0.7811077237,157948
RECHAZADO,0.4665706456,158079
RECHAZADO,0.4415634274,158125
RECHAZADO,0.3762271702,158216
RECHAZADO,0.3344428837,158226
RECHAZADO,0.4412701726,158232
RECHAZADO,0.8662212491,156763
RECHAZADO,0.7258589864,157371
RECHAZADO,0.7498471141,157383
APROBADO,0.9698954225,157404
RECHAZADO,0.9297291636,157415
RECHAZADO,0.2671209574,157487
RECHAZADO,0.9011172652,157491
RECHAZADO,0.2778776884,157557
RECHAZADO,0.3092285395,157706
RECHAZADO,0.8263360858,157707
RECHAZADO,0.4793227315,157711
RECHAZADO,0.8617058992,157714
RECHAZADO,0.4713633358,157717
RECHAZADO,0.1331163943,157818
RECHAZADO,0.8612416387,158050
RECHAZADO,0.6734956503,158134
RECHAZADO,0.3523313701,158143
RECHAZADO,0.1728130281,158322
APROBADO,0.9878365397,153097
RECHAZADO,0.5045093298,153978
APROBADO,0.967684269,154074
RECHAZADO,0.8720247746,154098
RECHAZADO,0.8724236488,154101
RECHAZADO,0.8718774319,154102
RECHAZADO,0.5725662708,154104
APROBADO,0.9657300115,154107
RECHAZADO,0.7595095038,154110
RECHAZADO,0.6685230732,154333
APROBADO,0.98584795,154383
RECHAZADO,0.519231081,154458
RECHAZADO,0.2743813992,154880
RECHAZADO,0.2184614092,155146
RECHAZADO,0.5996086597,159547
RECHAZADO,0.4510072172,159584
RECHAZADO,0.111865364,159606
RECHAZADO,0.314571768,159744
RECHAZADO,0.4926708341,159745
RECHAZADO,0.6736530662,159747
RECHAZADO,0.5120144486,159748
RECHAZADO,0.8519048095,159749
RECHAZADO,0.2311191708,159750
RECHAZADO,0.9342437387,159772
RECHAZADO,0.2910130322,159791
RECHAZADO,0.8946546912,154075
APROBADO,0.9405730367,154077
RECHAZADO,0.9219088554,154084
RECHAZADO,0.8843005896,154100
RECHAZADO,0.4113502502,152143
RECHAZADO,0.5754114985,152344
RECHAZADO,0.3948378563,152345
RECHAZADO,0.5706970096,152346
RECHAZADO,0.4144281745,152349
RECHAZADO,0.9272546768,152363
RECHAZADO,0.5855128169,152434
RECHAZADO,0.6801815033,152477
RECHAZADO,0.3763575554,152523
RECHAZADO,0.4419578314,152680
RECHAZADO,0.3602119684,152721
RECHAZADO,0.6083740592,152794
RECHAZADO,0.2635394931,152797
RECHAZADO,0.8622094393,152798
RECHAZADO,0.7062774301,152801
RECHAZADO,0.2815541327,152802
RECHAZADO,0.5748126507,153051
RECHAZADO,0.776330471,153163
APROBADO,0.9651453495,153166
RECHAZADO,0.9149127603,153167
RECHAZADO,0.633325994,153172
RECHAZADO,0.5077942014,153400
APROBADO,0.9811857343,153401
RECHAZADO,0.8208788633,153427
RECHAZADO,0.562183857,153502
RECHAZADO,0.9202219248,153522
RECHAZADO,0.89201051,153543
RECHAZADO,0.9085484743,158164
RECHAZADO,0.8873394132,158406
APROBADO,0.984228611,158415
APROBADO,0.9792581201,158416
RECHAZADO,0.7726267576,158417
RECHAZADO,0.866341114,158541
RECHAZADO,0.8713760376,158543
RECHAZADO,0.3755750358,158626
RECHAZADO,0.7343417406,158673
RECHAZADO,0.5778305531,158674
RECHAZADO,0.3910674453,158675
RECHAZADO,0.681945622,158677
RECHAZADO,0.6078418493,158678
RECHAZADO,0.4285312593,158717
RECHAZADO,0.771713376,158739
RECHAZADO,0.8661066294,158742
RECHAZADO,0.3642256558,158755
RECHAZADO,0.4681926668,158769
RECHAZADO,0.5985722542,158818
RECHAZADO,0.4536044002,158238
RECHAZADO,0.7053701878,158240
RECHAZADO,0.8828769922,158245
RECHAZADO,0.358304143,158246
RECHAZADO,0.7287272215,158247
APROBADO,0.9708196521,158268
APROBADO,0.9423610568,155267
RECHAZADO,0.7593948841,152760
RECHAZADO,0.8005906343,153055
RECHAZADO,0.9056048989,153066
RECHAZADO,0.5360689759,153083
APROBADO,0.9691429734,153088
RECHAZADO,0.6463038921,153090
RECHAZADO,0.8991554976,153145
APROBADO,0.9361982942,153162
APROBADO,0.9574412107,153239
RECHAZADO,0.6130768657,153516
APROBADO,0.9493124485,153545
RECHAZADO,0.5289366841,153547
RECHAZADO,0.8631097674,153549
RECHAZADO,0.9170734882,155404
RECHAZADO,0.8731154799,155409
RECHAZADO,0.683835566,155539
RECHAZADO,0.7123655081,155646
RECHAZADO,0.6683471203,156128
RECHAZADO,0.6022083163,156129
APROBADO,0.9866424799,156130
APROBADO,0.9735963941,156138
RECHAZADO,0.926649034,156140
RECHAZADO,0.601095438,156313
RECHAZADO,0.8448240757,156403
RECHAZADO,0.7745447755,156404
RECHAZADO,0.8867871165,156405
RECHAZADO,0.6585350633,156406
RECHAZADO,0.9092777371,156407
RECHAZADO,0.9312306643,159930
RECHAZADO,0.88390553,159598
RECHAZADO,0.7211914659,159599
RECHAZADO,0.7573193908,160172
RECHAZADO,0.8651345968,154897
RECHAZADO,0.5639070272,155495
RECHAZADO,0.6616234779,155504
RECHAZADO,0.5808622241,155513
RECHAZADO,0.3296195567,155519
RECHAZADO,0.3225222528,155641
RECHAZADO,0.2121244818,155805
RECHAZADO,0.1721367985,157537
RECHAZADO,0.2170623988,157538
RECHAZADO,0.5858539343,157541
RECHAZADO,0.6226082444,157764
RECHAZADO,0.8235061765,157766
RECHAZADO,0.6560429931,157952
RECHAZADO,0.7184785604,158053
RECHAZADO,0.543761611,158813
RECHAZADO,0.9261429906,158945
RECHAZADO,0.3947088122,159075
RECHAZADO,0.69250983,159076
APROBADO,0.9849780798,159083
APROBADO,0.9678679109,159109
RECHAZADO,0.8471952677,159115
RECHAZADO,0.3934088051,159125
RECHAZADO,0.7799554467,159126
RECHAZADO,0.7388961315,159129
APROBADO,0.9710345268,159147
RECHAZADO,0.6955729127,159267
RECHAZADO,0.5831664205,159406
RECHAZADO,0.9134079218,158607
RECHAZADO,0.7979021668,158608
RECHAZADO,0.815300405,158609
RECHAZADO,0.8174897432,158611
RECHAZADO,0.6511902213,158694
RECHAZADO,0.6583679914,158703
RECHAZADO,0.7281296253,158782
RECHAZADO,0.672237277,158785
RECHAZADO,0.7868392467,158787
RECHAZADO,0.5317329168,158789
RECHAZADO,0.8063871264,158808
RECHAZADO,0.8103349805,158809
RECHAZADO,0.5097373128,159000
RECHAZADO,0.1144344732,159022
RECHAZADO,0.1216875613,152472
RECHAZADO,0.3203769028,154669
APROBADO,0.9392294884,154812
APROBADO,0.9923655391,154821
APROBADO,0.9872976542,154822
APROBADO,0.965575397,154824
RECHAZADO,0.9274129868,154837
RECHAZADO,0.1313503832,155114
RECHAZADO,0.3172583282,153099
RECHAZADO,0.0686453208,153101
RECHAZADO,0.1899531335,153105
RECHAZADO,0.6873517036,153395
RECHAZADO,0.2756167054,154363
RECHAZADO,0.3391174376,154960
RECHAZADO,0.784445107,155555
RECHAZADO,0.8386935592,157362
RECHAZADO,0.458620131,157363
RECHAZADO,0.8058055043,157611
RECHAZADO,0.4155594707,157612
RECHAZADO,0.7931950688,157915
RECHAZADO,0.9319835901,154435
RECHAZADO,0.6442143917,154436
RECHAZADO,0.5999308825,154437
RECHAZADO,0.5124861002,154438
RECHAZADO,0.5905387402,154439
RECHAZADO,0.5401737094,154485
RECHAZADO,0.7366958261,154567
RECHAZADO,0.2593972981,157243
RECHAZADO,0.7643305063,157310
RECHAZADO,0.096578531,157483
RECHAZADO,0.3154378533,157558
RECHAZADO,0.5861772299,157937
RECHAZADO,0.8091734648,158379
RECHAZADO,0.7657635808,158380
RECHAZADO,0.8232385516,158381
RECHAZADO,0.8189288974,158382
RECHAZADO,0.5312433839,158385
RECHAZADO,0.7480731606,158386
RECHAZADO,0.9091255665,158706
RECHAZADO,0.4797292054,158784
RECHAZADO,0.5170645714,158882
RECHAZADO,0.8191129565,158887
RECHAZADO,0.8807166815,159024
RECHAZADO,0.8621815443,159025
APROBADO,0.936252892,159026
APROBADO,0.9686154723,159027
RECHAZADO,0.2404584289,155755
RECHAZADO,0.9287512898,155762
RECHAZADO,0.9157547951,155763
RECHAZADO,0.5675991774,156048
RECHAZADO,0.8048252463,156108
RECHAZADO,0.5371186137,156111
RECHAZADO,0.6853666306,156156
